Date Submitted,Status,Language,Country,Region,"Generally speaking, do you consider yourself a creative person?","How much time do you spend on average per month on each of the following activities? Write fictions or stories as a blog, novel, theatre play, script…","How much time do you spend on average per month on each of the following activities? Use image editing, animation or video editing software to modify or to create existing content",How much time do you spend on average per month on each of the following activities? Create software for fun or to solve problems that I face,How much time do you spend on average per month on each of the following activities? Use music software to modify or compose music,"How much time do you spend on average per month on each of the following activities? Decorate, paint, take creative and artistic photos or videos",How much time do you spend on average per month on each of the following activities? Modify an existing product (physical or virtual product) so that it better fits to my needs and expectations,How much time do you spend on average per month on each of the following activities? Create a physical product or a virtual work from scratch,How much time do you spend on average per month on each of the following activities? Tinker with or improve existing objects,What motivates you (or would motivate you) to engage in creative activities? My creations should earn me money or allow me to live comfortably,What motivates you (or would motivate you) to engage in creative activities? I like to win prizes or win contests,What motivates you (or would motivate you) to engage in creative activities? Creating allows me to pursue an activity that I like,What motivates you (or would motivate you) to engage in creative activities? I like to show my creations to others,What motivates you (or would motivate you) to engage in creative activities? It makes me known and helps me to get recognized by others,What motivates you (or would motivate you) to engage in creative activities? It allows me to improve my creative skills or to foster my creativity,What motivates you (or would motivate you) to engage in creative activities? I do it to help others or for the greater good,"What motivates you (or would motivate you) to engage in creative activities? When I create something, it's a real pleasure that fulfills me","When you do pursue a creative activity, you consider yourself...","In the future, how much time would you like to spend on creative activities (compared to today)?","You said « More time », why so?",Did you engage in one of the following activities in the last year? Posted a comment online about a product/service,"Did you engage in one of the following activities in the last year? Imagined in detail (drawings, sketches, plans) how an existing product/service could be improved, or imagined a new product/service","Did you engage in one of the following activities in the last year? Submitted or evaluated ideas on an idea platform, discussion group, or forum",Did you engage in one of the following activities in the last year? Participated in product or brand testing before they launch on the market,"Did you engage in one of the following activities in the last year? Participated in promoting a product (creating an ad or promotional of content, sharing on social networks, etc.)",Did you engage in one of the following activities in the last year? Participated in market research or opinion poll for a brand,"Did you engage in one of the following activities in the last year? Participated in a consumer-support activity (online forum, frequently asked questions, etc.)",Did you engage in one of the following activities in the last year? Participated in the creation of a product/service with or for a brand,"During the last three years, have you engaged in one of the following activities? I told a manufacturer or a company how it could improve its products/services","During the last three years, have you engaged in one of the following activities? I've adapted a product/service so that it better fits my personal needs","During the last three years, have you engaged in one of the following activities? I've created a new product/service from scratch so that it fits my personal needs","During the last three years, have you engaged in one of the following activities? I could have or I have filed a patent","During the last three years, have you engaged in one of the following activities? I told a company how to improve its products, services or brands","If a brand asked me for help in creating or improving its products/services, my main drivers to participate would be… Financial gains (money, prizes...)","If a brand asked me for help in creating or improving its products/services, my main drivers to participate would be… Fame, public recognition","If a brand asked me for help in creating or improving its products/services, my main drivers to participate would be… The challenge (solving a problem, correct mistakes etc.)","If a brand asked me for help in creating or improving its products/services, my main drivers to participate would be… Curiosity to do or discover something different","If a brand asked me for help in creating or improving its products/services, my main drivers to participate would be… The pleasure to perform an interesting task","If a brand asked me for help in creating or improving its products/services, my main drivers to participate would be… Discussions, interactions that I would have with other people","If a brand asked me for help in creating or improving its products/services, my main drivers to participate would be… The competition, submitting better contributions than others","If a brand asked me for help in creating or improving its products/services, my main drivers to participate would be… The fun and playful aspect of having a good time",Please read the following statements and indicate how much you agree with them: I frequently have needs or expectations for products/services that are not yet offered by companies on the market,Please read the following statements and indicate how much you agree with them: I already had ideas to improve products/services that are now being offered by companies on the market,"Please read the following statements and indicate how much you agree with them: Today, I finally find on the market products/services that satisfy needs that I have expressed a long time before","Please read the following statements and indicate how much you agree with them: Compared to what exists today, I have innovative ideas about the creation of new products/services","Please read the following statements and indicate how much you agree with them: When I hear about a new product or service idea, it is easy to imagine how it might be developed into an actual product/service","Please read the following statements and indicate how much you agree with them: Even if I don't see an immediate use for a new product/service, I like to think about how I might use it in the future","Please read the following statements and indicate how much you agree with them: When I see a new product/service idea, it is easy to visualize how it might fit into the life of an average person in the future","Please read the following statements and indicate how much you agree with them: If someone gave me a new product/service idea with no clear application, I could ""fill in the blanks"" so someone else would know what to do with it","Please read the following statements and indicate how much you agree with them: Even if I don't see an immediate use for a new product/service, I like to imagine how people in general might use it in the future",Please read the following statements and indicate how much you agree with them: I like to experiment with new ideas for how to use products and services,Please read the following statements and indicate how much you agree with them: I like to find patterns in complexity,Please read the following statements and indicate how much you agree with them: I can picture how products and services of today could be improved to make them more appealing to the average person,"If a brand asked you to help her co-create a product/service with them, how would you react?",What is that main reasons why you would NOT be willing to co-create products/services with a brand?,Which product category would attract you most for collaborating with a brand?,At which stage would you be willing to co-create with a brand?,You are...,Your age is...,Your education
9/26/2011 13:43,Complete,French,France,Mouvaux,3,0,0,0,0,0,0,0,1,1,3,3,1,3,1,1,3,0,2,,1,0,0,1,0,1,0,0,1,1,1,1,4,3,3,4,4,4,3,3,4,4,1,4,4,4,4,4,3,4,5,4,4,5,,4,2,1,3,4
9/26/2011 13:46,Complete,French,France,Caluire-et-cuire,2,3,3,2,2,3,2,3,3,2,2,3,3,2,3,3,3,1,2,,1,1,1,1,1,0,0,1,2,2,3,3,2,3,3,3,3,2,2,2,2,2,4,4,2,4,4,3,4,4,4,2,3,3,,,,2,3,4
9/26/2011 13:50,Complete,French,France,Strasbourg,3,0,0,1,2,2,3,0,5,1,1,4,3,1,3,3,4,2,2,,0,0,0,2,0,3,1,0,1,1,1,1,1,5,1,5,5,5,5,5,5,3,3,3,3,3,3,5,5,5,5,3,3,5,,8,2,2,4,4
9/26/2011 13:53,Complete,French,France,,3,0,1,2,0,0,1,0,1,3,1,3,3,4,3,2,4,1,3,4,1,0,1,2,1,1,1,0,1,2,2,1,3,4,2,5,5,4,5,5,3,3,3,4,4,4,4,4,3,4,5,5,4,5,,5,2,1,4,5
9/26/2011 13:51,Complete,French,France,Lamorlaye,4,0,2,0,0,3,1,0,1,1,2,5,4,2,3,3,5,2,2,,3,0,2,2,1,3,2,0,1,1,1,1,1,5,4,4,5,5,5,4,5,2,2,4,2,4,4,4,2,4,4,4,2,4,,9,3,1,3,4
9/26/2011 16:54,Complete,French,France,La Grigonnais,2,0,0,0,0,0,0,0,1,3,3,3,1,2,2,1,3,0,2,,1,0,0,2,0,4,2,0,1,1,1,1,1,5,2,3,4,3,2,2,3,2,1,4,1,3,3,1,3,2,3,3,2,4,,1,3,2,3,4
9/26/2011 13:57,Complete,French,France,Chevilly-larue,2,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,,0,2,,2,0,1,1,0,3,1,1,4,1,1,1,2,5,1,1,1,1,3,1,1,4,3,1,4,3,3,3,1,1,3,1,4,4,,6,2,1,3,4
9/26/2011 13:58,Complete,French,France,,4,1,1,2,0,2,0,1,3,2,2,4,5,4,5,5,5,2,2,,3,1,3,1,2,1,1,4,5,5,3,2,5,2,3,4,5,5,5,4,4,3,4,3,3,4,4,4,3,4,4,5,4,4,,6,3,2,4,5
9/26/2011 13:59,Complete,French,France,Lyon,3,0,3,0,0,5,2,0,5,1,3,5,4,3,3,4,4,2,3,1,4,0,1,0,2,3,3,0,3,4,4,1,3,5,3,4,5,4,5,4,4,4,5,5,3,4,4,3,3,4,3,5,4,4,,12,2,2,3,4
9/26/2011 14:00,Complete,French,France,Nanterre,3,0,0,0,0,1,0,1,2,1,1,4,3,1,3,4,5,3,2,,3,0,0,2,0,3,1,0,5,1,1,1,5,5,2,5,4,3,3,2,4,4,4,4,4,4,4,4,4,4,4,5,4,4,,6,2,1,4,4
9/26/2011 13:54,Complete,French,France,Royan,2,0,0,0,0,0,0,0,0,1,2,1,1,1,2,1,2,0,1,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,,,1,4,5
9/26/2011 14:07,Complete,French,France,Avignon,3,0,2,1,4,5,3,2,4,3,5,,4,3,3,4,3,1,2,,3,0,2,1,0,4,3,0,1,3,1,1,2,3,3,3,4,3,4,2,5,3,1,3,4,4,3,3,3,4,5,5,3,3,,,,1,6,4
9/26/2011 14:00,Complete,French,France,Mende,3,0,0,0,0,2,5,5,5,1,1,5,4,2,3,4,5,2,2,,2,0,0,1,0,2,1,0,1,4,1,1,1,3,2,4,4,4,4,1,4,3,3,3,2,3,2,3,2,2,4,2,2,2,1,,,1,6,4
9/26/2011 14:05,Complete,French,France,,4,0,1,1,0,2,0,0,2,1,1,5,3,1,3,1,4,2,3,2,0,1,0,1,0,4,1,0,1,3,3,1,1,3,1,3,3,3,3,1,3,3,3,3,3,4,3,3,3,3,4,3,3,3,,,,1,2,4
9/26/2011 14:02,Complete,French,France,Besançon,3,0,5,1,0,0,2,0,3,1,1,5,4,1,3,1,5,2,2,,0,1,0,4,0,4,0,0,5,3,1,1,5,4,1,5,5,5,1,3,5,5,1,1,4,5,5,5,4,5,5,4,4,5,,8,3,2,4,4
9/26/2011 14:00,Complete,French,France,Bougarber,3,1,1,2,1,1,2,2,3,4,3,3,4,4,4,3,4,0,2,,1,1,1,2,1,1,2,1,3,4,4,4,3,3,4,4,3,3,4,3,4,3,3,4,3,4,4,3,3,4,3,4,4,4,,9,1,2,3,3
9/26/2011 14:02,Complete,French,France,,2,0,0,1,0,1,1,0,1,2,4,4,3,2,4,4,4,1,1,,1,0,1,2,1,3,1,0,1,1,1,1,1,4,4,4,4,4,4,4,4,3,3,4,3,4,3,4,4,4,4,3,4,3,,,,2,3,5
9/26/2011 14:05,Complete,French,France,Aulnay-sous-bois,4,0,3,0,0,3,5,1,4,2,1,5,3,1,3,1,5,2,2,,2,0,1,4,0,0,0,0,1,1,1,1,1,3,1,3,4,5,2,3,1,1,1,2,2,3,3,2,2,2,1,4,3,3,,,,1,6,3
9/26/2011 14:06,Complete,French,France,Épinal,2,0,0,0,0,2,0,0,2,5,5,1,4,5,3,3,1,1,2,,2,0,2,2,1,2,1,2,4,4,3,1,3,3,1,4,4,4,3,3,3,1,1,3,1,3,3,1,3,3,3,3,3,4,,7,3,1,3,5
9/26/2011 14:10,Complete,French,France,Armenonville,4,0,0,0,0,4,1,5,2,1,3,5,4,1,5,5,5,2,3,1,0,3,0,4,0,4,1,0,5,5,4,1,5,5,1,5,5,5,5,3,5,4,1,4,4,4,4,4,4,4,4,4,4,4,,9,3,1,4,3
9/26/2011 14:21,Complete,French,France,Sotteville-lès-rouen,3,2,2,2,0,3,2,2,3,3,4,4,4,4,4,4,4,2,2,,3,0,3,1,1,3,3,0,4,4,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,,5,2,1,2,4
9/26/2011 14:05,Complete,French,France,Étrépagny,4,0,0,0,1,1,0,0,1,5,5,5,5,5,5,5,5,1,1,,3,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,,,,1,3,4
9/26/2011 14:06,Complete,French,France,Toulon,3,0,4,3,0,3,1,0,1,1,1,1,1,1,1,1,1,2,1,,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,1,5,5
9/26/2011 14:12,Complete,French,France,Montpellier,4,0,0,0,0,4,5,5,4,4,4,4,4,3,4,3,4,2,2,,3,0,3,3,0,3,3,0,4,1,1,1,4,4,3,3,4,4,3,3,3,4,2,4,3,3,4,3,4,4,3,3,4,5,,6,3,1,3,3
9/26/2011 14:08,Complete,French,France,Saint-nazaire,2,0,0,0,0,0,0,0,0,1,1,1,1,2,1,2,1,0,2,,1,0,1,0,0,4,0,0,4,3,1,1,4,3,2,2,2,2,2,2,2,2,1,3,2,1,2,3,3,2,1,2,2,3,,,,2,3,4
9/26/2011 14:09,Complete,French,France,Saint-mihiel,3,0,1,0,0,2,2,0,2,3,3,3,3,3,3,3,3,1,2,,1,1,1,1,1,1,1,1,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,2,4,3
9/26/2011 14:12,Complete,French,France,,3,3,4,4,3,5,3,4,5,4,5,5,5,4,5,5,5,2,3,1,3,3,3,2,2,2,0,0,4,4,4,4,4,4,3,5,5,5,5,5,5,4,5,5,5,5,5,4,4,5,5,5,4,5,,1,3,2,3,4
9/26/2011 14:12,Complete,French,France,Vigy,3,0,0,2,2,2,2,1,3,3,3,3,3,3,3,3,3,1,2,,2,2,3,3,3,4,3,3,3,3,2,3,5,4,4,4,5,4,4,3,4,2,3,3,4,3,3,3,3,4,3,4,4,3,,,,2,5,3
9/26/2011 14:13,Complete,French,France,Saint-sorlin-de-morestel,3,0,1,0,0,2,2,1,2,1,1,2,2,1,2,2,2,2,2,,1,0,0,1,0,1,1,0,1,2,1,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,5,,8,3,2,3,4
9/26/2011 14:12,Complete,French,France,Raismes,2,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,0,1,,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,1,5,2
9/26/2011 14:13,Complete,French,France,Audun-le-roman,4,5,0,0,0,0,4,5,4,2,1,5,4,1,1,1,5,2,2,,1,0,0,1,0,2,0,0,1,1,1,1,1,5,1,5,5,5,5,1,5,4,4,4,4,4,4,4,4,4,4,4,4,4,,10,3,1,2,3
9/26/2011 14:17,Complete,French,France,,2,0,1,2,0,1,0,0,0,1,4,4,3,2,2,4,1,0,2,,1,0,0,2,0,4,0,0,1,2,1,1,1,5,4,3,2,4,3,3,2,4,1,3,1,1,1,1,1,1,4,4,1,3,,,,2,1,4
9/26/2011 14:18,Complete,French,France,Lyon,3,0,1,0,0,1,0,0,0,3,3,4,4,3,4,3,4,1,2,,0,0,0,0,0,0,0,0,1,1,1,1,1,4,3,4,5,4,5,3,5,4,3,4,4,4,5,4,4,3,4,3,3,5,,2,2,2,5,1
9/26/2011 14:17,Complete,French,France,Nantes,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,2,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,,2,2,1,4,5
9/26/2011 14:18,Complete,French,France,Amiens,2,1,0,1,0,1,0,0,1,4,4,4,4,2,4,4,4,1,3,1,0,0,0,1,0,1,1,0,1,2,1,1,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,,,1,2,3
9/26/2011 14:21,Complete,French,France,Wattrelos,3,0,3,0,0,3,2,0,2,4,3,5,4,3,4,3,4,1,3,1,0,0,0,0,0,1,2,0,1,1,1,1,4,5,4,5,5,5,4,4,5,3,3,5,3,3,4,3,4,4,4,5,5,5,,9,2,2,3,3
9/26/2011 14:17,Complete,French,France,Troyes,3,0,0,0,0,0,0,1,0,2,4,3,2,3,3,5,4,1,2,,0,1,0,1,0,4,4,2,1,1,1,1,4,1,1,4,4,4,4,5,5,4,3,1,4,1,4,2,2,4,4,5,4,4,,3,2,2,6,2
9/26/2011 14:16,Complete,French,France,La Daguenière,3,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,5,,3,3,1,2,4
9/26/2011 14:17,Complete,French,France,,3,0,3,2,0,0,1,0,5,1,1,1,3,1,1,1,5,2,2,,1,0,0,1,0,3,0,0,1,1,1,1,1,4,1,1,4,1,4,5,1,1,4,1,1,3,1,4,2,1,4,1,4,4,,9,2,2,3,4
9/26/2011 14:18,Complete,French,France,Le Beausset,4,0,5,0,0,5,3,5,4,3,3,5,5,4,5,4,5,3,3,2,4,0,2,2,0,2,0,0,1,1,1,1,1,2,2,2,4,4,2,2,2,4,4,3,4,4,3,4,4,4,4,4,4,4,,1,3,2,3,4
9/26/2011 14:23,Complete,French,France,,3,0,0,0,0,0,0,0,1,2,3,4,3,3,3,3,4,0,3,1,0,0,0,3,0,2,4,0,1,1,1,1,1,4,3,4,4,4,4,3,4,4,3,3,3,3,4,3,4,4,4,4,4,4,,3,4,1,2,4
9/26/2011 14:18,Complete,French,France,Toulouse,3,0,2,2,0,2,2,1,3,3,1,3,3,3,4,4,4,2,2,,1,0,0,1,0,1,0,0,1,3,4,3,4,3,1,1,4,2,1,1,1,3,4,1,1,3,1,1,1,1,3,4,1,5,,6,3,2,4,4
9/26/2011 14:19,Complete,French,France,Aulnay-sous-bois,1,0,0,0,0,0,0,0,0,1,5,1,1,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,1,1,1,1,1,5,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,,1,5,5
9/26/2011 14:24,Complete,French,France,Lille,3,0,0,0,0,2,1,3,4,,2,4,4,2,4,4,4,2,2,,2,0,1,3,0,4,0,0,4,4,1,1,3,2,1,3,4,4,3,1,4,4,3,4,4,4,4,3,3,4,3,4,3,4,,11,2,1,4,3
9/26/2011 14:20,Complete,French,France,Millau,4,1,2,0,2,1,1,2,3,3,5,5,5,5,5,3,5,2,3,3,3,2,1,1,1,3,1,1,5,4,5,2,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,,3,3,1,5,4
9/26/2011 14:19,Complete,French,France,La Courneuve,2,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,1,,0,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,2,4,3
9/26/2011 14:22,Complete,French,France,Plonéour-lanvern,2,0,0,0,0,0,0,0,0,1,3,1,1,1,1,1,1,0,1,,3,0,3,2,0,4,3,2,1,1,1,1,1,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,4,3,3,5,,7,2,1,3,5
9/26/2011 14:24,Complete,French,France,Roubaix,2,0,0,0,0,1,0,1,1,3,2,4,3,1,2,2,4,1,2,,1,0,0,1,0,3,1,0,1,4,2,3,1,4,3,3,3,4,2,3,3,4,3,4,4,3,3,3,3,3,3,4,4,4,,6,3,1,2,4
9/26/2011 14:24,Complete,French,France,Saint-médard-en-jalles,3,2,3,0,0,2,0,0,1,1,3,3,4,3,4,3,5,1,2,,3,0,2,2,0,1,1,0,1,1,1,1,1,4,1,3,5,5,4,3,4,3,2,3,3,3,3,3,3,4,4,4,2,5,,13,3,2,2,4
9/26/2011 14:55,Complete,French,France,Valbonne,3,1,1,0,0,1,1,1,1,2,1,4,3,1,2,4,4,1,3,4,1,0,0,0,0,3,0,0,2,1,1,1,2,4,1,1,2,2,1,1,1,4,1,3,2,1,1,4,1,2,1,1,4,2,2,,,1,3,4
9/26/2011 14:23,Complete,French,France,Vienne,3,0,1,0,0,4,0,2,5,1,3,5,4,2,4,4,4,3,3,1,2,1,1,3,0,0,1,1,3,3,3,3,3,4,1,4,4,3,4,3,4,3,3,4,4,3,4,4,4,4,3,4,4,4,,3,3,1,4,4
9/26/2011 14:22,Complete,French,France,Mauguio,1,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,1,,0,0,0,1,0,2,0,0,1,1,1,1,1,4,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,,7,3,1,5,3
9/26/2011 14:23,Complete,French,France,Brest,3,0,1,0,0,1,2,3,3,2,2,4,4,4,4,3,4,3,2,,1,0,2,3,0,3,0,0,1,1,1,1,1,4,2,4,4,4,4,4,2,4,2,2,3,2,4,2,4,3,4,4,3,4,,11,2,1,4,3
9/26/2011 14:27,Complete,French,France,Saint-amand-les-eaux,2,0,0,0,0,0,0,0,0,4,3,5,4,4,4,3,4,1,2,,1,0,0,0,0,1,0,0,1,1,1,2,2,4,3,4,4,4,3,3,4,2,3,3,2,3,2,3,2,4,2,3,2,3,,,,2,4,4
9/26/2011 14:28,Complete,French,France,Reims,4,1,1,0,0,0,3,5,4,3,3,5,5,4,4,5,5,4,3,1,2,0,1,1,1,4,2,1,5,4,5,1,5,5,4,4,5,5,4,4,4,3,3,3,3,4,4,4,3,4,4,3,4,5,,11,2,1,3,4
9/26/2011 14:26,Complete,French,France,Châtenay-malabry,3,0,1,0,0,3,0,0,2,1,1,4,4,3,4,2,5,1,3,1,2,0,1,1,0,3,2,0,1,1,1,1,1,4,2,4,4,4,4,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,,7,2,1,3,2
9/26/2011 14:29,Complete,French,France,Décines-charpieu,3,0,0,0,0,1,0,2,3,2,4,4,5,4,4,4,5,1,2,,2,0,0,2,1,2,1,2,4,1,1,1,4,4,3,4,5,4,4,5,4,4,4,4,2,3,4,3,4,4,4,4,4,4,,3,3,2,4,5
9/26/2011 14:27,Complete,French,France,Le Crotoy,3,0,0,0,0,1,1,2,1,1,3,5,3,4,4,3,5,0,3,1,1,0,0,3,0,2,0,0,2,1,1,3,3,5,4,5,4,5,4,4,4,3,4,4,3,3,4,3,3,3,3,3,3,4,,7,3,1,3,4
9/26/2011 14:35,Complete,French,France,Solliès-pont,2,0,0,0,0,0,0,0,1,3,4,3,3,3,3,3,3,0,1,,2,0,0,0,0,3,2,0,1,1,1,1,1,4,3,2,4,4,3,4,3,2,3,3,1,3,4,3,1,3,2,2,1,4,,3,2,1,2,4
9/26/2011 14:30,Complete,French,France,Vannes,3,0,1,3,0,1,2,1,2,4,1,4,4,2,3,3,3,2,2,,0,2,0,0,0,0,0,0,1,2,1,1,1,2,1,1,1,2,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,4,,8,2,2,1,4
9/26/2011 14:26,Complete,French,France,Baâlon,4,0,0,2,0,5,1,5,2,4,3,5,5,5,3,1,5,3,3,1,0,0,0,1,0,3,0,0,1,1,1,1,1,5,4,4,4,5,4,4,1,1,2,3,2,2,1,2,2,2,1,2,2,3,,,,2,4,5
9/26/2011 14:26,Complete,French,France,Benfeld,2,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,1,,0,0,0,1,0,0,0,0,1,1,1,1,1,5,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,,8,3,1,4,3
9/26/2011 14:30,Complete,French,France,Guéret,2,1,1,0,1,1,1,1,1,3,2,3,3,2,2,2,4,1,2,,0,0,0,3,0,4,0,0,3,3,1,1,4,4,3,4,4,4,3,3,4,3,3,3,3,3,4,4,3,4,3,3,3,4,,2,2,1,4,4
9/26/2011 14:31,Complete,French,France,Grand-couronne,3,0,0,0,0,0,0,2,2,4,4,5,4,4,2,4,5,2,3,1,2,3,1,1,1,1,0,0,1,4,4,4,1,3,2,4,4,5,4,2,1,5,4,2,5,4,4,4,4,2,4,4,4,5,,11,2,1,3,4
9/26/2011 14:28,Complete,French,France,Pamiers,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,2,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,,,,1,3,2
9/26/2011 14:29,Complete,French,France,Fameck,3,0,2,0,0,0,0,0,2,3,2,3,4,4,4,4,3,2,2,,2,0,0,0,0,0,1,0,5,1,1,1,5,4,3,3,4,4,4,3,1,3,3,2,4,4,2,4,3,3,3,2,3,3,,,,2,6,1
9/26/2011 14:29,Complete,French,France,Le Havre,2,0,0,0,0,0,0,0,1,4,4,4,2,4,3,2,3,0,2,,2,0,1,0,0,2,2,0,2,1,1,1,2,3,1,4,4,5,3,2,4,2,3,3,2,4,4,4,4,4,4,4,4,5,,2,3,2,3,4
9/26/2011 14:32,Complete,French,France,,3,0,2,1,0,1,2,0,2,4,5,2,4,3,1,3,3,2,1,,1,0,1,0,0,2,2,0,1,1,1,1,1,5,4,4,5,4,3,4,5,3,3,3,1,3,3,3,3,3,2,4,2,4,,3,3,2,3,5
9/26/2011 14:35,Complete,French,France,Machecoul,2,0,1,0,0,1,0,0,1,3,2,2,2,2,3,3,3,0,1,,1,0,0,0,0,0,0,0,1,2,1,1,1,4,1,4,4,3,4,1,3,2,1,3,1,1,1,1,1,2,2,2,2,4,,5,3,1,3,4
9/26/2011 14:32,Complete,French,France,Villejuif,3,0,0,0,0,1,0,0,1,5,3,4,4,4,4,3,4,2,2,,0,0,0,1,0,2,2,0,1,1,1,1,1,4,4,4,4,4,4,3,3,2,1,1,1,3,2,1,1,2,1,2,3,5,,4,2,1,3,4
9/26/2011 14:32,Complete,French,France,Garéoult,3,0,0,2,0,0,2,0,3,1,3,4,4,4,4,4,4,2,2,,1,2,0,0,0,2,0,0,1,3,3,1,2,3,4,4,3,4,4,4,4,3,1,4,3,3,3,3,3,3,2,3,4,4,,9,1,2,5,5
9/26/2011 14:32,Complete,French,France,Rouen,2,0,0,0,0,1,1,0,1,2,2,5,5,4,4,5,4,2,3,1,2,0,0,1,0,0,0,0,1,4,2,1,3,5,5,3,4,4,3,4,4,4,1,5,2,3,3,3,4,3,4,4,4,3,,,,2,5,4
9/26/2011 14:31,Complete,French,France,Bonchamp-lès-laval,3,2,3,3,4,3,4,3,3,3,3,4,4,4,4,4,4,2,2,,2,3,3,3,4,3,3,2,4,4,3,3,4,3,3,4,5,4,3,4,4,4,4,5,5,4,5,5,4,5,4,5,3,5,,7,3,1,4,3
9/26/2011 14:34,Complete,French,France,Angers,3,0,2,0,0,3,3,0,4,1,1,4,4,2,4,1,4,1,3,3,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,2,4,4,1,2,3,3,3,4,3,3,3,2,3,3,2,4,3,4,,9,3,1,6,4
9/26/2011 14:33,Complete,French,France,Sainte-geneviève-des-bois,2,0,0,0,0,0,1,0,0,1,1,3,3,4,2,5,5,1,3,3,0,0,0,0,0,0,0,0,1,3,1,1,1,4,1,5,4,4,2,2,4,5,1,2,3,4,3,4,2,3,4,5,4,5,,10,1,2,3,4
9/26/2011 14:36,Complete,French,France,Sarrebourg,2,0,1,0,0,1,0,1,0,3,3,4,3,3,3,4,4,1,2,,1,0,0,1,0,2,0,0,4,3,1,1,4,3,2,3,4,4,3,4,3,2,3,3,3,3,4,4,3,4,4,3,3,4,,1,2,2,3,2
9/26/2011 14:34,Complete,French,France,Elbeuf,3,1,1,0,0,2,3,4,3,3,3,5,3,4,3,4,5,4,3,2,1,0,0,1,0,1,0,1,2,4,2,3,3,5,1,5,4,4,3,4,3,4,4,4,4,5,4,4,4,4,3,5,4,4,,12,2,2,3,4
9/26/2011 14:32,Complete,French,France,Épernay,3,2,1,2,3,4,4,2,2,2,2,4,4,4,4,2,4,1,2,,1,1,1,1,1,1,1,1,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,3,1,2,2
9/26/2011 14:35,Complete,French,France,Paris,4,0,1,0,0,2,1,1,2,2,3,4,4,2,4,3,4,2,3,1,2,0,1,1,1,1,0,0,3,4,2,1,3,3,2,4,4,4,4,3,4,4,4,4,3,3,4,4,3,4,4,3,4,4,,11,2,1,4,2
9/26/2011 14:37,Complete,French,France,,3,0,0,0,0,2,1,0,3,1,1,4,3,2,3,2,4,1,2,,0,0,0,0,0,0,0,0,1,4,1,1,1,4,2,3,4,4,2,1,3,1,1,1,1,2,1,2,1,1,3,1,1,5,,6,3,2,3,4
9/26/2011 14:38,Complete,French,France,Saint-nizier-d'azergues,2,0,0,0,0,0,0,0,2,1,1,4,4,1,4,1,4,1,3,1,2,0,4,4,0,4,2,4,4,1,1,5,4,1,1,5,5,5,3,5,5,1,4,4,2,1,1,1,4,4,1,5,4,4,,9,2,2,5,4
